"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1574","39231",39231,"txn","","genus","Diarthrognathus",NA,39231,"genus","Diarthrognathus",39229,"",4783,"extinct",2
"1575","171985",171985,"txn","","species","Diarthrognathus broomi",NA,171985,"species","Diarthrognathus broomi",39231,"",34034,"extinct",1
"1576","178271",178271,"txn","","genus","Elliotherium",NA,178271,"genus","Elliotherium",39229,"",35290,"extinct",2
"1577","178273",178273,"txn","","species","Elliotherium kersteni",NA,178273,"species","Elliotherium kersteni",178271,"",35290,"extinct",1
"1578","178083",178083,"txn","","genus","Irajatherium",NA,178083,"genus","Irajatherium",39229,"",35257,"extinct",4
"1579","178084",178084,"txn","","species","Irajatherium hernandezi",NA,178084,"species","Irajatherium hernandezi",178083,"",35257,"extinct",2
"1580","39233",39233,"txn","","genus","Pachygenelus",NA,39233,"genus","Pachygenelus",39229,"",34361,"extinct",16
"1581","56650",56650,"txn","","species","Pachygenelus monus",NA,56650,"species","Pachygenelus monus",39233,"",34361,"extinct",4
"1582","179259",179259,"txn","","genus","Pattsia",NA,179259,"genus","Pattsia",39229,"",35458,"extinct",2
"1583","179260",179260,"txn","","species","Pattsia likhoelensis",NA,179260,"species","Pattsia likhoelensis",179259,"",35458,"extinct",1
"1584","95409",95409,"txn","","genus","Riograndia",NA,95409,"genus","Riograndia",39229,"",35281,"extinct",8
"1585","178232",178232,"txn","","species","Riograndia guaibensis",NA,178232,"species","Riograndia guaibensis",95409,"",35281,"extinct",4
"1586","39232",39232,"txn","","genus","Tritheledon",NA,39232,"genus","Tritheledon",39229,"",77208,"extinct",2
"1587","56651",56651,"txn","","species","Tritheledon riconoi",NA,56651,"species","Tritheledon riconoi",39232,"",35205,"extinct",1
"1588","375342",375342,"txn","","family","Charassognathidae",NA,375342,"family","Charassognathidae",39168,"",59526,"extinct",6
"1589","428360",428360,"txn","","subfamily","Abdalodontinae",NA,428360,"subfamily","Abdalodontinae",375342,"",74295,"extinct",2
"1590","428358",428358,"txn","","genus","Nshimbodon",NA,428358,"genus","Nshimbodon",428360,"",74295,"extinct",2
"1591","428359",428359,"txn","","species","Nshimbodon muchingaensis",NA,428359,"species","Nshimbodon muchingaensis",428358,"",74295,"extinct",1
"1592","375340",375340,"txn","","genus","Abdalodon",NA,375340,"genus","Abdalodon",375342,"",59526,"extinct",2
"1593","375341",375341,"txn","","species","Abdalodon diastematicus",NA,375341,"species","Abdalodon diastematicus",375340,"",59526,"extinct",1
"1594","140430",140430,"txn","","genus","Charassognathus",NA,140430,"genus","Charassognathus",375342,"",29077,"extinct",2
"1595","140432",140432,"txn","","species","Charassognathus gracilis",NA,140432,"species","Charassognathus gracilis",140430,"",29077,"extinct",1
"1596","39185",39185,"txn","","family","Cynognathidae",NA,39185,"family","Cynognathidae",39168,"",4783,"",1
"1597","148778",148778,"txn","","family","Gomphodontidae",NA,148778,"family","Gomphodontidae",39168,"",30192,"extinct",1
"1598","197362",197362,"txn","","family","Madysauridae",NA,197362,"family","Madysauridae",39168,"",37296,"extinct",2
"1599","197360",197360,"txn","","genus","Madysaurus",NA,197360,"genus","Madysaurus",197362,"",37296,"extinct",2
"1600","197361",197361,"txn","","species","Madysaurus sharovi",NA,197361,"species","Madysaurus sharovi",197360,"",37296,"extinct",1
"1601","39170",39170,"txn","","family","Procynosuchidae",NA,39170,"family","Procynosuchidae",39168,"",4783,"extinct",53
"1602","39172",39172,"txn","","genus","Procynosuchus",NA,39172,"genus","Procynosuchus",39170,"",55690,"extinct",53
"1603","323823",323823,"txn","","species","Procynosuchus delaharpeae",NA,323823,"species","Procynosuchus delaharpeae",39172,"",55690,"extinct",26
"1604","95404",95404,"txn","","family","Therioherpetidae",NA,95404,"family","Therioherpetidae",39168,"",23375,"",4
