Species	Status
Lumkuia_sp.	extinct
Maastrichtidelphys_sp.	extinct
Madysaurus_sp.	extinct
Maelestes_sp.	extinct
Magallanodon_sp.	extinct
Magnimus_sp.	extinct
Maiopatagium_sp.	extinct
Malthacolestes_sp.	extinct
Mandagomphodon_sp.	extinct
Mangasbaatar_sp.	extinct
Maotherium_sp.	extinct
Massetognathus_sp.	extinct
Maubeugia_sp.	extinct
Meemannodon_sp.	extinct
Megaconus_sp.	extinct
Megazostrodon_sp.	extinct
Meiconodon_sp.	extinct
Meketibolodon_sp.	extinct
Meketichoffatia_sp.	extinct
Melanodon_sp.	extinct
Menadon_sp.	extinct
Meniscoessus_sp.	extinct
Mesodma_sp.	extinct
Mesungulatum_sp.	extinct
Meurthodon_sp.	extinct
Miccylotyrans_sp.	extinct
Microconodon_sp.	extinct
Microderson_sp.	extinct
Microscalenodon_sp.	extinct
Millsodon_sp.	extinct
Minicynodon_sp.	extinct
Minimus_sp.	extinct
Mistralestes_sp.	extinct
Mitredon_sp.	extinct
Mojo_sp.	extinct
Monobaatar_sp.	extinct
Montanalestes_sp.	extinct
Montirictus_sp.	extinct
Morganucodon_sp.	extinct
Mozomus_sp.	extinct
Murtoilestes_sp.	extinct
Nakunodon_sp.	extinct
Nanictosaurus_sp.	extinct
Nanocuris_sp.	extinct
Nanogomphodon_sp.	extinct
Nanolestes_sp.	extinct
Nemegtbaatar_sp.	extinct
Neoplagiaulax_sp.	extinct
Nessovbaatar_sp.	extinct
Nidimys_sp.	extinct
Nortedelphys_sp.	extinct
Nshimbodon_sp.	extinct
Nuurtherium_sp.	extinct
Nythosaurus_sp.	extinct
Oklatheridium_sp.	extinct
Oligokyphus_sp.	extinct
Orretherium_sp.	extinct
Oxlestes_sp.	extinct
Pachygenelus_sp.	extinct
Paikasigudodon_sp.	extinct
Palaeoxonodon_sp.	extinct
Paleomolops_sp.	extinct
Paleoungulatum_sp.	extinct
Panchetocynodon_sp.	extinct
Pappotherium_sp.	extinct
Paracimexomys_sp.	extinct
Paraeopentapodiscus_sp.	extinct
Paranyctoides_sp.	extinct
Paraungulatum_sp.	extinct
Parazhelestes_sp.	extinct
Parectypodus_sp.	extinct
Parendotherium_sp.	extinct
Paressonodon_sp.	extinct
Pariadens_sp.	extinct
Parikimys_sp.	extinct
Paritatodon_sp.	extinct
Pascualgnathus_sp.	extinct
Passumys_sp.	extinct
Pattsia_sp.	extinct
Paulchoffatia_sp.	extinct
Paurodon_sp.	extinct
Pediomys_sp.	extinct
Pelicopsis_sp.	extinct
Peraiocynodon_sp.	extinct
Peramuroides_sp.	extinct
Peramus_sp.	extinct
Peraspalax_sp.	extinct
Phascolestes_sp.	extinct
Phascolotherium_sp.	extinct
Picopsis_sp.	extinct
Pinheirodon_sp.	extinct
Plagiaulax_sp.	extinct
Platycraniellus_sp.	extinct
Plesiochoffatia_sp.	extinct
Polistodon_sp.	extinct
Portopinheirodon_sp.	extinct
Potamotelses_sp.	extinct
Priacodon_sp.	extinct
Proalbionbaatar_sp.	extinct
Probainognathus_sp.	extinct
Procerberus_sp.	extinct
Procynosuchus_sp.	extinct
Progalesaurus_sp.	extinct
Prokennalestes_sp.	extinct
Protalphadon_sp.	extinct
Protheriodon_sp.	extinct
Protolambda_sp.	extinct
Protuberum_sp.	extinct
Protungulatum_sp.	extinct
Prozostrodon_sp.	extinct
Psalodon_sp.	extinct
Pseudobolodon_sp.	extinct
Pseudotherium_sp.	extinct
Pseudotribos_sp.	extinct
Pseudotriconodon_sp.	extinct
Purbeckodon_sp.	extinct
Redondagnathus_sp.	extinct
Reigitherium_sp.	extinct
Renatodon_sp.	extinct
Repenomamus_sp.	extinct
Rewaconodon_sp.	extinct
Riograndia_sp.	extinct
Rosieria_sp.	extinct
Rougietherium_sp.	extinct
Ruberodon_sp.	extinct
Rugosodon_sp.	extinct
Sangarotherium_sp.	extinct
Santacruzgnathus_sp.	extinct
Santacruzodon_sp.	extinct
Sasayamamylos_sp.	extinct
Sazlestes_sp.	extinct
Scalaridelphys_sp.	extinct
Scalenodon_sp.	extinct
Schadipes_sp.	extinct
Schowalteria_sp.	extinct
Scollardius_sp.	extinct
Sederipes_sp.	extinct
Shalbaatar_sp.	extinct
Shartegodon_sp.	extinct
Sheikhdzheilia_sp.	extinct
Shenshou_sp.	extinct
Shuotherium_sp.	extinct
Sibirotherium_sp.	extinct
Simpsonodon_sp.	extinct
Sinbadelphys_sp.	extinct
Sineleutherus_sp.	extinct
Sinobaatar_sp.	extinct
Sinoconodon_sp.	extinct
Sinodelphys_sp.	extinct
Sinognathus_sp.	extinct
Siriusgnathus_sp.	extinct
Sloanbaatar_sp.	extinct
Sorlestes_sp.	extinct
Spalacolestes_sp.	extinct
Spalacotheridium_sp.	extinct
Spalacotherium_sp.	extinct
Spalacotheroides_sp.	extinct
Spinolestes_sp.	extinct
Staffia_sp.	extinct
Stereognathus_sp.	extinct
Steropodon_sp.	extinct
Stirtodon_sp.	extinct
Storchodon_sp.	extinct
Stygimys_sp.	extinct
Stylidens_sp.	extinct
Sulestes_sp.	extinct
Sunnyodon_sp.	extinct
Symmetrodontoides_sp.	extinct
Symmetrolestes_sp.	extinct
